departamento,ie,ie_anterior,var_absoluta,ranking_por_anio,categoria
Ayacucho,1980,NULL,NULL,3,"Bajo el provincial"
Ayacucho,1991,28,0,4,"Bajo el provincial"
Ayacucho,2001,28,6,4,"Bajo el provincial"
Ayacucho,2010,34,2,6,"Bajo el provincial"
Ayacucho,2022,36,18,6,"Sobre el provincial"
Belgrano,1980,NULL,NULL,4,"Bajo el provincial"
Belgrano,1991,26,11,2,"Bajo el provincial"
Belgrano,2001,37,12,1,"Sobre el provincial"
Belgrano,2010,49,6,2,"Sobre el provincial"
Belgrano,2022,55,11,2,"Sobre el provincial"
Chacabuco,1980,NULL,NULL,5,"Bajo el provincial"
Chacabuco,1991,25,1,5,"Bajo el provincial"
Chacabuco,2001,26,2,6,"Bajo el provincial"
Chacabuco,2010,28,12,4,"Bajo el provincial"
Chacabuco,2022,40,21,4,"Sobre el provincial"
"Coronel Pringles",1980,NULL,NULL,5,"Bajo el provincial"
"Coronel Pringles",1991,25,0,6,"Bajo el provincial"
"Coronel Pringles",2001,25,6,5,"Bajo el provincial"
"Coronel Pringles",2010,31,6,5,"Bajo el provincial"
"Coronel Pringles",2022,37,20,5,"Sobre el provincial"
"General Pedernera",1980,NULL,NULL,5,"Bajo el provincial"
"General Pedernera",1991,25,-3,7,"Bajo el provincial"
"General Pedernera",2001,22,3,7,"Bajo el provincial"
"General Pedernera",2010,25,5,7,"Bajo el provincial"
"General Pedernera",2022,30,13,8,"Bajo el provincial"
"Gobernador Dupuy",1980,NULL,NULL,9,"Bajo el provincial"
"Gobernador Dupuy",1991,19,3,7,"Bajo el provincial"
"Gobernador Dupuy",2001,22,0,8,"Bajo el provincial"
"Gobernador Dupuy",2010,22,6,8,"Bajo el provincial"
"Gobernador Dupuy",2022,28,10,9,"Bajo el provincial"
"Juan Martín de Pueyrredón",1980,NULL,NULL,5,"Bajo el provincial"
"Juan Martín de Pueyrredón",1991,25,-7,9,"Bajo el provincial"
"Juan Martín de Pueyrredón",2001,18,2,9,"Bajo el provincial"
"Juan Martín de Pueyrredón",2010,20,7,9,"Bajo el provincial"
"Juan Martín de Pueyrredón",2022,27,17,7,"Bajo el provincial"
Junín,1980,NULL,NULL,2,"Bajo el provincial"
Junín,1991,30,1,3,"Bajo el provincial"
Junín,2001,31,6,3,"Bajo el provincial"
Junín,2010,37,12,3,"Sobre el provincial"
Junín,2022,49,13,3,"Sobre el provincial"
"Libertador General San Martín",1980,NULL,NULL,1,"Bajo el provincial"
"Libertador General San Martín",1991,32,12,1,"Bajo el provincial"
"Libertador General San Martín",2001,44,3,2,"Sobre el provincial"
"Libertador General San Martín",2010,47,11,1,"Sobre el provincial"
"Libertador General San Martín",2022,58,27,1,"Muy envejecido"
